,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees
10,19,1.0,9.0,"{64, 1, 3, 40, 76, 77, 16, 83, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1.0,11.0,"{68, 6, 39, 7, 70, 72, 44, 46, 93, 29, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,24.0,"{1, 6, 10, 18, 23, 34, 38, 42, 50, 52, 57, 61, 64, 68, 69, 72, 76, 78, 79, 81, 82, 85, 88, 92}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,1.0,34.0,"{1, 5, 6, 12, 14, 15, 17, 18, 20, 24, 33, 34, 37, 38, 45, 49, 50, 51, 53, 57, 63, 64, 68, 71, 75, 76, 80, 81, 85, 88, 91, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,36.0,"{1, 6, 9, 10, 13, 17, 19, 20, 21, 22, 24, 26, 27, 29, 30, 33, 37, 39, 40, 45, 49, 50, 54, 55, 57, 59, 60, 63, 68, 69, 71, 78, 79, 80, 86, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,50.0,"{1, 2, 3, 6, 9, 10, 12, 13, 17, 20, 22, 23, 24, 27, 30, 32, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 54, 57, 59, 60, 61, 63, 64, 66, 68, 69, 71, 72, 76, 77, 79, 80, 82, 84, 85, 88, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,1.0,14.0,"{96, 65, 3, 36, 37, 9, 41, 81, 50, 84, 21, 54, 88, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,1.0,6.0,"{97, 68, 38, 17, 18, 54}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,2.0,18.0,"{1, 33, 4, 5, 6, 37, 68, 13, 78, 79, 17, 18, 49, 20, 53, 22, 57, 29}",7.0,"{33, 68, 5, 6, 17, 22, 57}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,1.0,16.0,"{33, 97, 71, 88, 10, 79, 80, 49, 18, 19, 50, 55, 24, 27, 60, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,1.0,9.0,"{34, 6, 40, 10, 76, 51, 59, 30, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,2.0,11.0,"{64, 33, 12, 76, 80, 81, 50, 53, 61, 95, 63}",5.0,"{33, 76, 50, 61, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,1.0,9.0,"{68, 5, 71, 20, 53, 86, 57, 60, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,1.0,17.0,"{2, 66, 38, 39, 71, 72, 10, 13, 15, 80, 17, 49, 20, 52, 54, 57, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,1.0,19.0,"{1, 2, 22, 24, 40, 42, 45, 54, 57, 60, 61, 64, 69, 71, 72, 77, 85, 88, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1.0,15.0,"{66, 37, 38, 39, 40, 71, 76, 79, 17, 52, 95, 57, 92, 30, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1.0,22.0,"{1, 2, 5, 6, 9, 23, 32, 33, 37, 38, 42, 49, 50, 51, 52, 60, 66, 69, 77, 79, 82, 88}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
